epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4273.93,0.63294,1.25277,1.07443,0.56125,0.45674,0.50768,0.45058,0.562,1.48605,0.95549,0.005842,0.005842,0.005842
44,4372.29,0.62085,1.19867,1.06549,0.52904,0.47296,0.51165,0.45748,0.54799,1.45391,0.94641,0.005743,0.005743,0.005743
45,4470.68,0.61986,1.17246,1.06205,0.59216,0.45585,0.5215,0.4653,0.55267,1.44414,0.95477,0.005644,0.005644,0.005644
46,4568.67,0.61702,1.15131,1.06216,0.57549,0.4444,0.51471,0.45949,0.55018,1.46525,0.95449,0.005545,0.005545,0.005545
47,4666.91,0.61058,1.13099,1.06159,0.62842,0.45932,0.52548,0.47222,0.5527,1.43172,0.95584,0.005446,0.005446,0.005446
48,4764.89,0.60123,1.124,1.05234,0.58554,0.46639,0.5292,0.47588,0.54851,1.44356,0.95589,0.005347,0.005347,0.005347
49,4863.18,0.59798,1.09072,1.05471,0.60379,0.44942,0.52826,0.472,0.54967,1.42079,0.95458,0.005248,0.005248,0.005248
50,4961.3,0.59517,1.07573,1.04979,0.63469,0.45057,0.537,0.48147,0.54554,1.37417,0.95095,0.005149,0.005149,0.005149
51,5059.48,0.59928,1.07651,1.0536,0.69034,0.42262,0.53369,0.48056,0.53985,1.42419,0.94654,0.00505,0.00505,0.00505
52,5157.77,0.58655,1.04296,1.04508,0.633,0.4597,0.54431,0.48927,0.53568,1.40837,0.94081,0.004951,0.004951,0.004951
53,5256.15,0.58865,1.02175,1.04576,0.64311,0.46154,0.5348,0.48423,0.53586,1.38891,0.95021,0.004852,0.004852,0.004852
54,5354.12,0.57822,1.00822,1.0444,0.6707,0.45687,0.54859,0.49554,0.53547,1.37848,0.94569,0.004753,0.004753,0.004753
55,5452.49,0.57805,0.98906,1.03717,0.63329,0.46762,0.54762,0.49462,0.534,1.36909,0.94745,0.004654,0.004654,0.004654
56,5550.65,0.57411,0.98258,1.04104,0.68444,0.45965,0.55852,0.50465,0.52619,1.35531,0.94214,0.004555,0.004555,0.004555
57,5648.86,0.57602,0.97335,1.04257,0.61015,0.49752,0.55845,0.50465,0.52847,1.37142,0.94053,0.004456,0.004456,0.004456
58,5747,0.56563,0.93687,1.03395,0.67434,0.47595,0.56879,0.51386,0.5269,1.35858,0.94056,0.004357,0.004357,0.004357
59,5845.51,0.56515,0.93704,1.03444,0.64144,0.48457,0.56924,0.51277,0.52644,1.34807,0.94205,0.004258,0.004258,0.004258
