epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2566.79,0.6272,1.81262,1.11901,0.4686,0.32299,0.34606,0.28816,0.67618,2.08305,1.06678,0.005743,0.005743,0.005743
45,2623.63,0.62924,1.80025,1.11597,0.46833,0.32796,0.34766,0.2869,0.67056,2.09553,1.06443,0.005644,0.005644,0.005644
46,2680.21,0.61413,1.75852,1.10214,0.42449,0.33692,0.34495,0.28716,0.66006,2.10041,1.06087,0.005545,0.005545,0.005545
47,2736.94,0.61757,1.77384,1.10552,0.49746,0.31694,0.35197,0.29271,0.66353,2.094,1.06068,0.005446,0.005446,0.005446
48,2793.46,0.61603,1.74771,1.10888,0.50129,0.32949,0.35728,0.29647,0.67073,2.07235,1.06904,0.005347,0.005347,0.005347
49,2850.33,0.60932,1.68833,1.10268,0.45615,0.347,0.36266,0.30193,0.66246,2.07853,1.06086,0.005248,0.005248,0.005248
50,2906.84,0.60724,1.68759,1.09583,0.49737,0.3473,0.36943,0.30789,0.65689,2.06027,1.06087,0.005149,0.005149,0.005149
51,2963.8,0.60193,1.68879,1.09493,0.47709,0.35643,0.36972,0.30717,0.66534,2.05167,1.06423,0.00505,0.00505,0.00505
52,3020.25,0.60618,1.66397,1.10277,0.47074,0.34735,0.37638,0.31427,0.65751,2.03643,1.05904,0.004951,0.004951,0.004951
53,3077.03,0.60439,1.64433,1.09745,0.5665,0.31677,0.37209,0.31171,0.65583,2.03129,1.05567,0.004852,0.004852,0.004852
54,3133.55,0.59104,1.62127,1.09461,0.54866,0.32939,0.37353,0.31222,0.65397,2.01989,1.05537,0.004753,0.004753,0.004753
55,3190.08,0.58631,1.62865,1.08929,0.46795,0.36688,0.38349,0.32162,0.65452,2.03285,1.05511,0.004654,0.004654,0.004654
56,3246.91,0.59169,1.58659,1.09146,0.49481,0.35076,0.38469,0.32156,0.65474,2.00629,1.05755,0.004555,0.004555,0.004555
57,3303.55,0.58278,1.58958,1.08588,0.49873,0.3423,0.37847,0.31741,0.65463,2.01454,1.057,0.004456,0.004456,0.004456
58,3360.2,0.58202,1.55179,1.08206,0.48829,0.35624,0.38464,0.32013,0.67115,2.01282,1.06699,0.004357,0.004357,0.004357
59,3416.56,0.58067,1.55044,1.08433,0.48033,0.36296,0.37988,0.31778,0.66097,2.0051,1.06089,0.004258,0.004258,0.004258
60,3473.5,0.58177,1.53003,1.08086,0.49061,0.36758,0.38352,0.32409,0.65208,1.9969,1.06015,0.004159,0.004159,0.004159
61,3530.16,0.56975,1.50728,1.07539,0.49624,0.36901,0.39336,0.33112,0.65245,1.99577,1.05835,0.00406,0.00406,0.00406
62,3587.03,0.57291,1.49845,1.07711,0.53103,0.3615,0.38956,0.32837,0.65339,1.98076,1.06104,0.003961,0.003961,0.003961
63,3643.69,0.56017,1.47581,1.06627,0.52202,0.35712,0.38976,0.33107,0.64843,1.98312,1.05389,0.003862,0.003862,0.003862
64,3700.5,0.57162,1.48588,1.07797,0.48362,0.37899,0.39213,0.33107,0.65203,1.98236,1.05724,0.003763,0.003763,0.003763
65,3756.85,0.56253,1.48187,1.0692,0.48069,0.37725,0.40121,0.33573,0.65197,1.97861,1.05892,0.003664,0.003664,0.003664
66,3813.2,0.56775,1.47599,1.07491,0.506,0.37735,0.39522,0.33333,0.64949,1.96362,1.0544,0.003565,0.003565,0.003565
67,3869.79,0.54866,1.4073,1.05319,0.49736,0.38187,0.39729,0.33767,0.64016,1.97364,1.05127,0.003466,0.003466,0.003466
68,3926.31,0.55393,1.40475,1.06008,0.49596,0.36562,0.3937,0.33481,0.6411,1.99189,1.05362,0.003367,0.003367,0.003367
69,3982.9,0.54989,1.42338,1.06445,0.50759,0.36883,0.39411,0.33174,0.64457,1.9752,1.05682,0.003268,0.003268,0.003268
70,4039.03,0.55657,1.42174,1.06471,0.52522,0.36494,0.40225,0.34015,0.64065,1.95879,1.0508,0.003169,0.003169,0.003169
71,4095.76,0.54639,1.37882,1.05757,0.49765,0.3898,0.40358,0.34243,0.63738,1.97358,1.04797,0.00307,0.00307,0.00307
72,4152.06,0.55317,1.40103,1.06287,0.4924,0.39711,0.40742,0.34429,0.63768,1.97606,1.05138,0.002971,0.002971,0.002971
73,4208.72,0.5494,1.3635,1.05822,0.54129,0.36482,0.4094,0.34731,0.63961,1.96211,1.04822,0.002872,0.002872,0.002872
74,4264.91,0.54376,1.34448,1.05167,0.5628,0.35457,0.40358,0.34086,0.64082,1.9627,1.05202,0.002773,0.002773,0.002773
75,4321.49,0.53764,1.34719,1.0537,0.53467,0.36277,0.40455,0.34314,0.6381,1.95755,1.05109,0.002674,0.002674,0.002674
76,4377.47,0.53661,1.35618,1.0566,0.53849,0.36875,0.40556,0.34358,0.63836,1.95653,1.05125,0.002575,0.002575,0.002575
77,4433.74,0.53418,1.31659,1.0458,0.57703,0.35892,0.41014,0.34882,0.63507,1.94178,1.04901,0.002476,0.002476,0.002476
78,4490.38,0.53239,1.30715,1.04536,0.54768,0.3781,0.40892,0.3475,0.63447,1.94427,1.04841,0.002377,0.002377,0.002377
79,4546.75,0.53398,1.31769,1.04747,0.55681,0.36615,0.41026,0.34726,0.63643,1.95884,1.05047,0.002278,0.002278,0.002278
80,4603.1,0.5297,1.30429,1.04657,0.53975,0.36884,0.4085,0.34648,0.63432,1.96241,1.05032,0.002179,0.002179,0.002179
81,4659.24,0.52712,1.29924,1.04496,0.5308,0.36859,0.41116,0.34968,0.63048,1.95017,1.04869,0.00208,0.00208,0.00208
82,4715.66,0.52257,1.28218,1.03852,0.60492,0.34306,0.41057,0.34878,0.63001,1.9574,1.04828,0.001981,0.001981,0.001981
83,4771.94,0.51882,1.28021,1.03758,0.53864,0.36826,0.41317,0.35136,0.62912,1.95657,1.04709,0.001882,0.001882,0.001882
84,4828.24,0.51722,1.27243,1.03706,0.50395,0.38163,0.40862,0.3477,0.63075,1.95605,1.04558,0.001783,0.001783,0.001783
85,4884.75,0.52883,1.27264,1.044,0.52021,0.38017,0.40493,0.34427,0.62833,1.96302,1.04639,0.001684,0.001684,0.001684
86,4940.77,0.51762,1.26073,1.03697,0.57714,0.36395,0.41115,0.34886,0.62908,1.95218,1.04534,0.001585,0.001585,0.001585
87,4997.22,0.51752,1.22471,1.03021,0.49907,0.39232,0.40903,0.34871,0.63238,1.96002,1.04901,0.001486,0.001486,0.001486
88,5053.51,0.51589,1.24905,1.03663,0.51952,0.38005,0.40898,0.34819,0.63381,1.95797,1.05003,0.001387,0.001387,0.001387
89,5109.8,0.50257,1.22558,1.03308,0.53251,0.37935,0.4076,0.34673,0.63221,1.96254,1.05021,0.001288,0.001288,0.001288
90,5165.94,0.51368,1.22977,1.03138,0.53943,0.38112,0.40985,0.34914,0.63158,1.95747,1.04835,0.001189,0.001189,0.001189
91,5222.92,0.37648,1.02247,0.91265,0.51224,0.3877,0.4107,0.35149,0.63102,1.95583,1.04938,0.00109,0.00109,0.00109
92,5279.04,0.36708,0.99904,0.90475,0.54137,0.38595,0.413,0.35394,0.62832,1.95139,1.04811,0.000991,0.000991,0.000991
93,5335.19,0.36769,0.99121,0.9036,0.54472,0.38434,0.41246,0.3536,0.62807,1.95177,1.05108,0.000892,0.000892,0.000892
94,5391.45,0.35791,0.97208,0.90057,0.55135,0.37765,0.41557,0.35679,0.62491,1.95267,1.04973,0.000793,0.000793,0.000793
95,5447.6,0.35734,0.97283,0.90216,0.55555,0.38452,0.41585,0.35661,0.62478,1.95342,1.04799,0.000694,0.000694,0.000694
96,5503.8,0.35717,0.95779,0.89993,0.53439,0.39753,0.41777,0.3576,0.6246,1.95746,1.04696,0.000595,0.000595,0.000595
97,5559.87,0.35638,0.95706,0.89936,0.51073,0.40553,0.41622,0.35735,0.62485,1.95598,1.04728,0.000496,0.000496,0.000496
98,5616.17,0.35008,0.95117,0.89611,0.54205,0.38915,0.41886,0.35984,0.6245,1.95398,1.04821,0.000397,0.000397,0.000397
99,5672.17,0.34884,0.94337,0.89655,0.53708,0.3886,0.41566,0.35633,0.62437,1.95622,1.0487,0.000298,0.000298,0.000298
100,5728.6,0.34436,0.93104,0.89183,0.52486,0.39603,0.41584,0.35696,0.62456,1.95617,1.04881,0.000199,0.000199,0.000199
