epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,3926.29,0.48205,0.73265,0.99829,0.64005,0.56834,0.62058,0.56279,0.49549,1.22571,0.92153,2.92168e-05,2.92168e-05,2.92168e-05
40,4025.57,0.48293,0.70994,0.99916,0.66428,0.54843,0.61688,0.56001,0.49541,1.23074,0.92087,2.68804e-05,2.68804e-05,2.68804e-05
41,4126.23,0.35648,0.37872,0.89578,0.70269,0.52072,0.60763,0.55216,0.49654,1.25123,0.92995,2.4544e-05,2.4544e-05,2.4544e-05
42,4224.99,0.35137,0.35676,0.89513,0.69956,0.53997,0.61612,0.55761,0.49576,1.22466,0.92866,2.22076e-05,2.22076e-05,2.22076e-05
43,4324.48,0.34172,0.33138,0.88701,0.65522,0.54375,0.61883,0.56248,0.49026,1.21708,0.92777,1.98712e-05,1.98712e-05,1.98712e-05
44,4423.72,0.33551,0.32208,0.88305,0.62871,0.5555,0.6104,0.5539,0.49499,1.24016,0.92924,1.75348e-05,1.75348e-05,1.75348e-05
45,4523.2,0.33336,0.31378,0.883,0.65342,0.54809,0.61618,0.55941,0.49226,1.22563,0.93044,1.51984e-05,1.51984e-05,1.51984e-05
46,4622.57,0.33141,0.30246,0.8843,0.68982,0.52323,0.61267,0.55417,0.4918,1.22261,0.93094,1.2862e-05,1.2862e-05,1.2862e-05
47,4721.86,0.32551,0.29427,0.87777,0.6361,0.5574,0.61581,0.56023,0.48713,1.22715,0.9294,1.05256e-05,1.05256e-05,1.05256e-05
48,4821.31,0.31881,0.27897,0.87804,0.66171,0.5436,0.61898,0.56293,0.48959,1.21495,0.93161,8.1892e-06,8.1892e-06,8.1892e-06
49,4920.19,0.31102,0.27273,0.87202,0.70026,0.52853,0.62098,0.56337,0.48742,1.21476,0.93028,5.8528e-06,5.8528e-06,5.8528e-06
50,5019.59,0.31179,0.26935,0.86895,0.72152,0.51377,0.62214,0.56578,0.48777,1.21324,0.93011,3.5164e-06,3.5164e-06,3.5164e-06
